wwtp_jurisdiction,avg_detect_prop
District of Columbia,100
Nevada,99.90828729281768
Idaho,99.76957045363308
California,99.75732357512443
Hawaii,99.568401937046
Florida,99.3708276505635
New Jersey,99.23706289012685
Alaska,99.18968023255815
Massachusetts,98.88928098809
Georgia,98.87637362637362
Minnesota,98.16162297609868
Mississippi,98
Rhode Island,97.8971028971029
Wyoming,97.73412698412699
Kansas,97.67809364548495
Utah,97.59469007600899
Arkansas,97.13492322770337
North Carolina,96.94195318972659
Vermont,96.67236328125
Montana,96.5357948139797
